,rf1_log,rf2_log,rf3_log,rf4_log,rf5_log,rf6_log,rf7_log,rf8_log,rf9_log,proba
0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.011111111111111112
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011111111111111112
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.011111111111111112
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.03333333333333334
8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.022222222222222223
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4,0.3,0.4,0.4,0.3,0.1,0.0,0.0,0.0,0.21111111111111114
14,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.022222222222222223
15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.011111111111111112
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.011111111111111112
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011111111111111112
19,0.0,0.0,0.0,0.1,0.2,0.1,0.8,0.3,0.2,0.1888888888888889
20,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.011111111111111112
21,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.6,0.5,0.17777777777777778
22,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.044444444444444446
23,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.08888888888888889
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.7,0.6,0.9,0.9,0.6,0.8,0.4,0.2,0.5,0.6222222222222222
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.03333333333333334
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.1,0.2,0.0,0.3,0.1,0.0,0.07777777777777778
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.011111111111111112
40,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.044444444444444446
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112
43,0.7,0.5,0.4,0.4,0.2,0.4,0.3,0.5,0.2,0.4
44,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.011111111111111112
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.2,0.1,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.1222222222222222
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.022222222222222223
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.7,0.6,0.9,0.9,0.6,0.8,0.4,0.2,0.5,0.6222222222222222
54,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.06666666666666667
55,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.05555555555555555
56,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011111111111111112
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.05555555555555555
61,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.0,0.2,0.2555555555555556
62,0.0,0.0,0.0,0.4,0.3,0.8,0.8,0.6,0.5,0.37777777777777777
63,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333334
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.4,0.7,0.5,0.1,0.1,0.3,0.5,0.5,0.1,0.35555555555555557
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.03333333333333334
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.011111111111111112
74,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.011111111111111112
75,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.011111111111111112
76,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.011111111111111112
77,0.0,0.2,0.7,0.4,0.3,0.3,0.0,0.1,0.1,0.23333333333333334
78,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223
79,0.7,0.3,0.4,0.4,0.2,0.7,0.1,0.3,0.3,0.3777777777777777
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011111111111111112
83,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.022222222222222223
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.1,0.3,0.3,0.1,0.1,0.0,0.0,0.2,0.2,0.14444444444444443
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.044444444444444446
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.5,0.4,0.6,0.1,0.3,0.0,0.0,0.7,0.6,0.35555555555555557
95,0.2,0.6,0.3,0.4,0.6,0.3,0.3,0.3,0.2,0.3555555555555555
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.2,0.3,0.7,0.5,0.7,0.3,0.1,0.0,0.1,0.3222222222222222
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.3,0.5,0.3,0.6,0.6,0.8,0.6,0.8,0.2,0.5222222222222224
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.2,0.0,0.1,0.0,0.2,0.3,0.0,0.1,0.1
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.022222222222222223
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112
106,0.1,0.4,0.7,1.0,0.8,0.8,0.8,0.6,1.0,0.6888888888888888
107,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.022222222222222223
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.022222222222222223
110,0.0,0.0,0.2,0.1,0.0,0.5,0.1,0.2,0.5,0.17777777777777778
111,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.03333333333333334
112,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.2,0.3,0.1111111111111111
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.044444444444444446
118,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.022222222222222223
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.011111111111111112
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.011111111111111112
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.05555555555555555
123,0.4,0.8,0.5,0.3,0.2,0.1,0.0,0.1,0.2,0.288888888888889
124,0.3,0.4,0.4,0.1,0.1,0.0,0.0,0.2,0.5,0.2222222222222222
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.1,0.3,0.3,0.1,0.1,0.0,0.7,0.3,0.2111111111111111
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.011111111111111112
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.022222222222222223
130,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.022222222222222223
131,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.3,0.1,0.07777777777777778
132,0.2,0.6,0.3,0.4,0.6,0.3,0.3,0.3,0.2,0.3555555555555555
133,0.3,0.5,0.6,0.3,0.3,0.7,0.5,0.7,0.3,0.4666666666666667
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.1,0.3,0.4,0.3,0.8,0.4,0.6,0.7,0.4000000000000001
136,0.0,0.3,0.2,0.2,0.6,0.3,0.3,0.7,1.0,0.39999999999999997
137,0.3,0.4,0.4,0.7,0.6,0.3,0.0,0.2,0.4,0.36666666666666664
138,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.011111111111111112
139,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.05555555555555555
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.05555555555555555
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333334
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
